species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.014, 0.014, 0, 0, 0, 0, 0.011
AABM5X2, 0, 0, 0.017, 0.019, 0, 0, 0, 0, 0.014
AABM5X3, 0, 0, 0.014, 0.016, 0, 0, 0, 0, 0.011
Abys1, 1, 0.001, 0.998, 0.827, 1, 0, 1, 0.186, 0.825
Acid1, 1, 0, 0.024, 0.028, 1, 0, 1, 0.994, 0.017
Acid10, 1, 0.002, 0.938, 0.704, 1, 0, 1, 0.228, 0.782
Acid11, 0, 0, 0.017, 0.018, 0, 0, 0, 0, 0.012
Acid12, 0, 0, 0.032, 0.027, 0, 0, 0, 0, 0.011
Acid13, 0, 0, 0.028, 0.02, 0, 0, 0, 0, 0.007
Acid14, 1, 0, 0.302, 0.095, 1, 0, 1, 0.999, 0.013
Acid16, 1, 0, 0.017, 0.336, 1, 0, 1, 0.013, 0.994
Acid17, 0, 0, 1.019, 0.023, 0, 0, 0, 0, 0.012
Acid18, 0, 0, 0.021, 0.019, 0, 0, 0, 0, 0.015
Acid2, 0, 0, 0.03, 0.033, 0, 0, 0, 0, 0.024
Acid20, 1, 0, 1.013, 0.018, 1, 0, 1, 1, 0.01
Acid21, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.012
Acid22, 2, 0.002, 0.065, 0.627, 1, 0, 2, 1.019, 0.998
Acid23, 1, 0.001, 0.018, 0.426, 1, 0, 1, 0.161, 0.853
Acid24, 0, 0, 0.12, 0.064, 0, 0, 0, 0, 0.018
Acid25, 0, 0, 0.019, 0.018, 0, 0, 0, 0, 0.012
Acid26, 0, 0, 0.017, 0.013, 0, 0, 0, 0, 0.008
Acid27, 0, 0, 0.023, 0.017, 0, 0, 0, 0, 0.009
Acid28, 0, 0, 1.018, 0.017, 0, 0, 0, 0, 0.007
Acid29, 0, 0, 0.03, 0.029, 0, 0, 0, 0, 0.016
Acid3, 1, 0, 1.023, 0.461, 1, 0, 1, 0.285, 0.734
Acid30, 0, 0, 0.017, 0.022, 0, 0, 0, 0, 0.014
Acid31, 0, 0, 0.013, 0.011, 0, 0, 0, 0, 0.008
Acid32, 0, 0, 0.023, 0.029, 0, 0, 0, 0, 0.014
Acid33, 1, 0.002, 0.023, 0.538, 1, 0, 1, 0.293, 0.721
Acid34, 0, 0, 0.052, 0.054, 0, 0, 0, 0, 0.006
Acid35, 1, 0, 0.025, 0.025, 1, 0, 1, 1, 0.015
Acid36, 2, 0, 0.016, 0.017, 1, 0, 2, 2, 0.01
Acid37, 0, 0, 0.016, 0.018, 0, 0, 0, 0, 0.013
Acid38, 2, 0, 0.016, 0.014, 1, 0, 2, 2, 0.01
Acid39, 1, 0, 0.017, 0.015, 1, 0, 1, 1, 0.007
Acid4, 1, 0.003, 0.94, 0.544, 1, 0, 1, 0.345, 0.675
Acid40, 2, 0, 0.018, 0.018, 1, 0, 2, 1.998, 0.015
Acid5, 0, 0, 0.106, 0.055, 0, 0, 0, 0, 0.014
Acid6, 1, 0, 0.024, 0.018, 1, 0, 1, 0.998, 0.013
Acid7, 1, 0.001, 0.176, 1.022, 1, 0, 1, 0.999, 0.009
Acid8, 0, 0, 0.059, 0.043, 0, 0, 0, 0, 0.014
Acid9, 0, 0, 0.028, 0.019, 0, 0, 0, 0, 0.01
Acti10, 1, 0.001, 0.965, 0.273, 1, 0, 1, 0.271, 0.738
Acti11, 1, 0, 0.07, 0.018, 1, 0, 1, 0.977, 0.036
Acti12, 2, 0.002, 0.016, 0.628, 1, 0, 2, 1.313, 0.696
Acti13, 1, 0.002, 0.064, 0.431, 1, 0, 1, 0.234, 0.777
Acti14, 1, 0.001, 0.054, 0.368, 1, 0, 1, 0.322, 0.692
Acti15, 1, 0, 0.029, 0.029, 1, 0, 1, 0.961, 0.045
Acti16, 1, 0.001, 0.019, 0.67, 1, 0, 1, 0.48, 0.529
Acti18, 0, 0, 0.501, 0.194, 0, 0, 0, 0, 0.012
Acti19, 0, 0, 0.221, 0.087, 0, 0, 0, 0, 0.01
Acti2, 0, 0, 0.034, 0.032, 0, 0, 0, 0, 0.016
Acti20, 0, 0, 0.12, 0.11, 0, 0, 0, 0, 0.061
Acti21, 1, 0, 0.333, 0.119, 1, 0, 1, 0.998, 0.015
Acti22, 1, 0, 0.058, 0.084, 1, 0, 1, 0.986, 0.024
Acti23, 1, 0, 0.038, 0.222, 1, 0, 1, 0.181, 0.827
Acti24, 0, 0, 0.022, 0.02, 0, 0, 0, 0, 0.016
Acti25, 1, 0, 0.022, 0.032, 1, 0, 1, 0.982, 0.026
Acti26, 0, 0, 0.491, 0.068, 0, 0, 0, 0, 0.01
Acti27, 0, 0, 0.013, 0.014, 0, 0, 0, 0, 0.007
Acti28, 1, 0, 0.98, 0.074, 1, 0, 1, 0.202, 0.806
Acti29, 0, 0, 0.02, 0.024, 0, 0, 0, 0, 0.016
Acti3, 1, 0, 0.288, 0.076, 1, 0, 1, 0.948, 0.062
Acti30, 0, 0, 0.012, 0.011, 0, 0, 0, 0, 0.01
Acti31, 0, 0, 0.971, 0.018, 0, 0, 0, 0, 0.011
Acti32, 1, 0, 0.979, 0.194, 1, 0, 1, 0.205, 0.805
Acti33, 0, 0, 0.38, 0.026, 0, 0, 0, 0, 0.013
Acti34, 1, 0.001, 0.129, 0.391, 1, 0, 1, 0.247, 0.759
Acti35, 1, 0, 0.027, 0.027, 1, 0, 1, 0.349, 0.66
Acti36, 1, 0, 0.071, 0.049, 1, 0, 1, 0.995, 0.017
Acti37, 1, 0, 0.049, 0.029, 1, 0, 1, 1, 0.016
Acti38, 0, 0, 1.025, 0.023, 0, 0, 0, 0, 0.009
Acti39, 0, 0, 0.137, 0.058, 0, 0, 0, 0, 0.03
Acti4, 0, 0, 0.329, 0.194, 0, 0, 0, 0, 0.015
Acti40, 0, 0, 0.18, 0.018, 0, 0, 0, 0, 0.007
Acti41, 1, 0.002, 0.979, 0.474, 1, 0, 1, 0.111, 0.898
Acti42, 1, 0.001, 0.029, 0.25, 1, 0, 1, 0.073, 0.946
Acti43, 1, 0.003, 0.068, 1.035, 1, 0, 1, 0.993, 0.011
Acti44, 0, 0, 1.024, 0.022, 0, 0, 0, 0, 0.014
Acti45, 1, 0, 0.025, 0.018, 1, 0, 1, 0.998, 0.013
Acti46, 1, 0, 0.129, 0.062, 1, 0, 1, 0.964, 0.05
Acti47, 1, 0.001, 0.051, 0.869, 1, 0, 1, 0.971, 0.038
Acti48, 1, 0, 0.258, 0.032, 1, 0, 1, 0.996, 0.013
Acti49, 1, 0, 0.219, 0.123, 1, 0, 1, 0.965, 0.045
Acti5, 0, 0, 0.026, 0.032, 0, 0, 0, 0, 0.022
Acti50, 1, 0, 0.181, 0.009, 1, 0, 1, 0.997, 0.007
Acti51, 0, 0, 0.015, 0.017, 0, 0, 0, 0, 0.009
Acti52, 1, 0, 0.021, 0.024, 1, 0, 1, 0.999, 0.011
Acti6, 0, 0, 0.363, 0.171, 0, 0, 0, 0, 0.002
Acti7, 0, 0, 1.016, 0.026, 0, 0, 0, 0, 0.009
Acti8, 0, 0, 0.016, 0.018, 0, 0, 0, 0, 0.01
Acti9, 0, 0, 0.014, 0.018, 0, 0, 0, 0, 0.01
Aero1, 0, 0, 0.057, 0.052, 0, 0, 0, 0, 0.019
Aqui1, 0, 0, 0.212, 0.046, 0, 0, 0, 0, 0.009
Aqui2, 1, 0, 0.014, 0.198, 1, 0, 1, 0.199, 0.811
Aqui3, 0, 0, 0.026, 0.024, 0, 0, 0, 0, 0.012
Aqui4, 0, 0, 0.012, 0.014, 0, 0, 0, 0, 0.009
Aqui5, 0, 0, 0.044, 0.016, 0, 0, 0, 0, 0.006
Aqui6, 0, 0, 0.015, 0.015, 0, 0, 0, 0, 0.012
Arma11, 2, 0.044, 0.084, 0.334, 1, 0, 2, 0.753, 1.177
Arma12, 2, 0.001, 0.086, 0.492, 1, 0, 2, 0.431, 1.583
Arma13, 0, 0, 0.013, 0.014, 0, 0, 0, 0, 0.011
Arma14, 0, 0.001, 0.085, 0.089, 0, 0, 0, 0, 0.012
Arma15, 0, 0, 0.014, 0.017, 0, 0, 0, 0, 0.012
Arma16, 1, 0, 0.086, 0.052, 1, 0, 1, 0.999, 0.009
Arma3, 2, 0, 0.286, 0.708, 1, 0, 2, 0.412, 1.604
Arma4, 0, 0, 0.092, 0.089, 0, 0, 0, 0, 0.02
Arma6, 1, 0, 0.019, 0.023, 1, 0, 1, 0.999, 0.016
Arma7, 0, 0, 0.515, 0.15, 0, 0, 0, 0, 0.013
Arma9, 1, 0, 0.026, 0.023, 1, 0, 1, 1, 0.012
Aure1, 0, 0, 0.929, 0.139, 0, 0, 0, 0, 0.017
Aure2, 1, 0, 0.134, 0.188, 1, 0, 1, 0.79, 0.222
Aure3, 0, 0, 1.364, 0.487, 0, 0, 0, 0, 0.015
B130X1, 0, 0, 0.608, 0.295, 0, 0, 0, 0, 0.062
BMS3X1, 0, 0, 0.259, 0.209, 0, 0, 0, 0, 0.055
Bact1, 0, 0, 0.01, 0.01, 0, 0, 0, 0, 0.004
Bact10, 0, 0, 0.116, 0.052, 0, 0, 0, 0, 0.011
Bact11, 0, 0, 0.022, 0.021, 0, 0, 0, 0, 0.016
Bact12, 0, 0, 0.021, 0.021, 0, 0, 0, 0, 0.016
Bact13, 0, 0, 0.022, 0.022, 0, 0, 0, 0, 0.017
Bact14, 0, 0, 0.012, 0.013, 0, 0, 0, 0, 0.006
Bact16, 0, 0, 0.012, 0.016, 0, 0, 0, 0, 0.009
Bact17, 0, 0, 0.017, 0.014, 0, 0, 0, 0, 0.011
Bact18, 0, 0, 0.013, 0.013, 0, 0, 0, 0, 0.011
Bact19, 1, 0, 0.015, 0.029, 1, 0, 1, 0.959, 0.052
Bact2, 0, 0, 0.016, 0.019, 0, 0, 0, 0, 0.008
Bact20, 0, 0, 0.017, 0.017, 0, 0, 0, 0, 0.009
Bact21, 0, 0, 0.1, 0.058, 0, 0, 0, 0, 0.01
Bact22, 0, 0, 0.019, 0.022, 0, 0, 0, 0, 0.01
Bact23, 1, 0, 0.011, 0.021, 1, 0, 1, 0.151, 0.858
Bact24, 0, 0, 0.018, 0.02, 0, 0, 0, 0, 0.015
Bact25, 0, 0, 0.017, 0.019, 0, 0, 0, 0, 0.012
Bact27, 0, 0, 0.013, 0.015, 0, 0, 0, 0, 0.012
Bact28, 0, 0, 0.167, 0.021, 0, 0, 0, 0, 0.014
Bact29, 1, 0.002, 0.017, 0.429, 1, 0, 1, 0.271, 0.736
Bact3, 0, 0, 0.011, 0.007, 0, 0, 0, 0, 0.005
Bact30, 0, 0, 0.014, 0.02, 0, 0, 0, 0, 0.011
Bact31, 0, 0, 0.019, 0.017, 0, 0, 0, 0, 0.014
Bact32, 0, 0, 0.016, 0.018, 0, 0, 0, 0, 0.013
Bact33, 0, 0, 0.405, 0.144, 0, 0, 0, 0, 0.019
Bact34, 0, 0, 0.034, 0.012, 0, 0, 0, 0, 0.008
Bact35, 0, 0, 0.015, 0.016, 0, 0, 0, 0, 0.008
Bact36, 0, 0, 0.018, 0.02, 0, 0, 0, 0, 0.008
Bact37, 0, 0, 0.016, 0.016, 0, 0, 0, 0, 0.011
Bact38, 0, 0, 0.011, 0.013, 0, 0, 0, 0, 0.006
Bact39, 2, 0, 0.015, 0.386, 1, 0, 2, 0.383, 1.629
Bact4, 0, 0, 0.029, 0.025, 0, 0, 0, 0, 0.018
Bact40, 0, 0, 0.012, 0.014, 0, 0, 0, 0, 0.007
Bact41, 0, 0, 0.014, 0.012, 0, 0, 0, 0, 0.009
Bact42, 0, 0, 0.011, 0.01, 0, 0, 0, 0, 0.006
Bact43, 0, 0, 0.019, 0.014, 0, 0, 0, 0, 0.009
Bact44, 1, 0, 0.014, 0.023, 1, 0, 1, 0.956, 0.048
Bact5, 0, 0, 0.008, 0.005, 0, 0, 0, 0, 0.005
Bact6, 0, 0, 0.042, 0.019, 0, 0, 0, 0, 0.01
Bact7, 0, 0, 0.016, 0.016, 0, 0, 0, 0, 0.011
Bact8, 0, 0, 0.017, 0.016, 0, 0, 0, 0, 0.012
Bact9, 0, 0, 0.283, 0.127, 0, 0, 0, 0, 0.004
Bdell10, 0, 0, 0.028, 0.022, 0, 0, 0, 0, 0.009
Bdell11, 0, 0, 0.024, 0.019, 0, 0, 0, 0, 0.011
Bdell12, 1, 0, 0.018, 0.018, 1, 0, 1, 0.999, 0.012
Bdell13, 0, 0, 0.292, 0.088, 0, 0, 0, 0, 0.011
Bdell14, 0, 0, 0.018, 0.012, 0, 0, 0, 0, 0.01
Bdell15, 0, 0, 0.017, 0.017, 0, 0, 0, 0, 0.009
Bdell16, 0, 0, 0.019, 0.017, 0, 0, 0, 0, 0.01
Bdell17, 0, 0, 0.02, 0.024, 0, 0, 0, 0, 0.011
Bdell2, 0, 0, 0.026, 0.026, 0, 0, 0, 0, 0.007
Bdell3, 1, 0, 0.018, 0.016, 1, 0, 1, 0.998, 0.012
Bdell4, 0, 0, 0.02, 0.023, 0, 0, 0, 0, 0.012
Bdell5, 0, 0, 0.009, 0.007, 0, 0, 0, 0, 0.006
Bdell6, 0, 0, 0.075, 0.052, 0, 0, 0, 0, 0.009
Bdell7, 0, 0, 0.012, 0.011, 0, 0, 0, 0, 0.009
Bdell9, 0, 0, 0.019, 0.017, 0, 0, 0, 0, 0.011
BdellC1, 0, 0, 0.025, 0.021, 0, 0, 0, 0, 0.008
BdellC2, 0, 0, 0.029, 0.029, 0, 0, 0, 0, 0.012
Bipo1, 0, 0, 0.258, 0.099, 0, 0, 0, 0, 0.015
Bipo2, 1, 0.002, 0.025, 0.307, 1, 0, 1, 0.227, 0.78
CG267X1, 0, 0, 0.067, 0.059, 0, 0, 0, 0, 0.011
CG294X1, 0, 0, 0.066, 0.042, 0, 0, 0, 0, 0.01
CSP1X1, 0, 0, 0.105, 0.072, 0, 0, 0, 0, 0.014
